dttm,value
2017-10-06 11:31:53,254
2017-10-06 11:32:23,254
2017-10-06 11:32:53,254
2017-10-06 11:33:23,254
2017-10-06 11:33:53,254
2017-10-06 11:34:23,255
2017-10-06 11:34:53,254
2017-10-06 11:35:23,254
2017-10-06 11:35:53,254
2017-10-06 11:36:23,254
2017-10-06 11:36:53,253
2017-10-06 11:37:23,254
2017-10-06 11:37:53,254
2017-10-06 11:38:23,257
2017-10-06 11:38:53,254
2017-10-06 11:39:23,254
2017-10-06 11:39:54,254
2017-10-06 11:40:24,254
2017-10-06 11:40:54,254
2017-10-06 11:41:24,254
2017-10-06 11:41:54,254
2017-10-06 11:42:24,253
2017-10-06 11:42:54,253
2017-10-06 11:43:24,253
2017-10-06 11:43:54,253
2017-10-06 11:44:24,253
2017-10-06 11:44:54,253
2017-10-06 11:45:24,253
2017-10-06 11:45:54,253
2017-10-06 11:46:24,253
2017-10-06 11:46:54,253
2017-10-06 11:47:24,253
2017-10-06 11:47:54,253
2017-10-06 11:48:24,253
2017-10-06 11:48:54,253
2017-10-06 11:49:24,253
2017-10-06 11:49:54,254
2017-10-06 11:50:25,253
2017-10-06 11:50:55,253
2017-10-06 11:51:25,254
2017-10-06 11:51:55,254
2017-10-06 11:52:25,254
2017-10-06 11:52:55,254
2017-10-06 11:53:25,257
2017-10-06 11:53:55,254
2017-10-06 11:54:25,254
2017-10-06 11:54:55,255
2017-10-06 11:55:25,254
2017-10-06 11:55:55,255
2017-10-06 11:56:25,253
2017-10-06 11:56:55,253
2017-10-06 11:57:25,253
2017-10-06 11:57:55,253
2017-10-06 11:58:25,253
2017-10-06 11:58:55,253
2017-10-06 11:59:25,253
2017-10-06 11:59:55,255
2017-10-06 12:00:25,256
2017-10-06 12:00:56,256
2017-10-06 12:01:26,255
2017-10-06 12:01:56,255
2017-10-06 12:02:26,255
2017-10-06 12:02:56,256
2017-10-06 12:03:26,255
2017-10-06 12:03:56,256
2017-10-06 12:04:26,255
2017-10-06 12:04:56,255
2017-10-06 12:05:26,256
2017-10-06 12:05:56,256
2017-10-06 12:06:26,256
2017-10-06 12:06:56,256
2017-10-06 12:07:26,256
2017-10-06 12:07:56,256
2017-10-06 12:08:26,259
2017-10-06 12:08:56,258
2017-10-06 12:09:26,258
2017-10-06 12:09:56,256
2017-10-06 12:10:26,256
2017-10-06 12:10:56,255
2017-10-06 12:11:27,255
2017-10-06 12:11:57,255
2017-10-06 12:12:27,255
2017-10-06 12:12:57,254
2017-10-06 12:13:27,255
2017-10-06 12:13:57,255
2017-10-06 12:14:27,255
2017-10-06 12:14:57,255
2017-10-06 12:15:27,255
2017-10-06 12:15:57,255
2017-10-06 12:16:27,255
2017-10-06 12:16:57,255
2017-10-06 12:17:27,255
2017-10-06 12:17:57,254
2017-10-06 12:18:27,253
2017-10-06 12:18:57,254
2017-10-06 12:19:27,257
2017-10-06 12:19:57,256
2017-10-06 12:20:27,255
2017-10-06 12:20:57,255
2017-10-06 12:21:27,255
2017-10-06 12:21:57,255
2017-10-06 12:22:28,255
2017-10-06 12:22:58,255
2017-10-06 12:23:28,255
2017-10-06 12:23:58,255
2017-10-06 12:24:28,253
2017-10-06 12:24:58,253
2017-10-06 12:25:28,253
2017-10-06 12:25:58,254
2017-10-06 12:26:28,253
2017-10-06 12:26:58,253
2017-10-06 12:27:28,253
2017-10-06 12:27:58,253
2017-10-06 12:28:28,253
2017-10-06 12:28:58,253
2017-10-06 12:29:28,253
2017-10-06 12:29:58,254
2017-10-06 12:30:28,253
2017-10-06 12:30:58,253
2017-10-06 12:31:28,253
2017-10-06 12:31:58,253
2017-10-06 12:32:28,253
2017-10-06 12:32:59,254
2017-10-06 12:33:29,254
2017-10-06 12:33:59,254
2017-10-06 12:34:29,254
2017-10-06 12:34:59,254
2017-10-06 12:35:29,254
2017-10-06 12:35:59,255
2017-10-06 12:36:29,254
2017-10-06 12:36:59,254
2017-10-06 12:37:29,254
2017-10-06 12:37:59,253
2017-10-06 12:38:29,253
2017-10-06 12:38:59,253
2017-10-06 12:39:29,253
2017-10-06 12:39:59,253
2017-10-06 12:40:29,253
2017-10-06 12:40:59,253
2017-10-06 12:41:29,253
2017-10-06 12:41:59,253
2017-10-06 12:42:29,253
2017-10-06 12:42:59,253
2017-10-06 12:43:30,253
2017-10-06 12:44:00,253
2017-10-06 12:44:30,253
2017-10-06 12:45:00,253
2017-10-06 12:45:30,253
2017-10-06 12:46:00,253
2017-10-06 12:46:30,253
2017-10-06 12:47:00,253
2017-10-06 12:47:30,253
2017-10-06 12:48:00,253
2017-10-06 12:48:30,253
2017-10-06 12:49:00,253
2017-10-06 12:49:30,253
2017-10-06 12:50:00,253
2017-10-06 12:50:30,255
2017-10-06 12:51:00,254
2017-10-06 12:51:30,254
2017-10-06 12:52:00,254
2017-10-06 12:52:30,254
2017-10-06 12:53:00,254
2017-10-06 12:53:30,259
2017-10-06 12:54:01,254
2017-10-06 12:54:31,254
2017-10-06 12:55:01,254
2017-10-06 12:55:31,254
2017-10-06 12:56:01,254
2017-10-06 12:56:31,254
2017-10-06 12:57:01,253
2017-10-06 12:57:31,253
2017-10-06 12:58:01,253
