Linux    OSW v2.1.1
zzz ***Wed Oct 19 08:00:43 UTC 2016
F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 S root      1707     1  0  80   0 -  6736 epoll_ 07:54 ?        00:00:00 rpc.idmapd
5 S dbus      1732     1  0  80   0 -  6891 poll_s 07:54 ?        00:00:00 dbus-daemon --system
5 S root      1742     1  0  80   0 - 15688 poll_s 07:54 ?        00:00:00 /usr/sbin/sshd
1 S root      1766     2  0  75  -5 -     0 slow_w 07:54 ?        00:00:00 [kslowd000]
1 S root      1767     2  0  75  -5 -     0 slow_w 07:54 ?        00:00:00 [kslowd001]
1 S root      1769     2  0  80   0 -     0 worker 07:54 ?        00:00:00 [nfsiod]
1 S root      1772     2  0  80   0 -     0 svc_re 07:54 ?        00:00:00 [lockd]
5 S 68        1805     1  0  80   0 -  8778 poll_s 07:54 ?        00:00:00 hald
0 S root      1806  1805  0  80   0 -  5427 poll_s 07:54 ?        00:00:00 hald-runner
5 S root      1843     1  0  80   0 - 33131 poll_s 07:55 ?        00:00:01 /usr/bin/ruby /usr/sbin/mcollectived --pid=/var/run/mcollectived.pid --config=/etc/mcollective/server.cfg
5 S nscd      1883     1  0  80   0 - 32408 epoll_ 07:55 ?        00:00:00 /usr/sbin/nscd
1 S root      1965     1  0  80   0 - 39803 epoll_ 07:55 ?        00:00:00 /usr/sbin/sssd -f -D
1 S root      1976     1  0  80   0 -  6451 poll_s 07:55 ?        00:00:00 xinetd -stayalive -pidfile /var/run/xinetd.pid
4 S root      1991  1965  0  80   0 - 45039 epoll_ 07:55 ?        00:00:00 /usr/libexec/sssd/sssd_be -d 0 --debug-to-files --domain oracle.com
5 S ntp       1994     1  0  80   0 -  6374 poll_s 07:55 ?        00:00:00 ntpd -x -u ntp:ntp -p /var/run/ntpd.pid
0 S root      2011  1965  0  80   0 - 39416 epoll_ 07:55 ?        00:00:00 /usr/libexec/sssd/sssd_nss -d 0 --debug-to-files
0 S root      2012  1965  0  80   0 - 39237 epoll_ 07:55 ?        00:00:00 /usr/libexec/sssd/sssd_pam -d 0 --debug-to-files
5 S root      2019     1  0  80   0 - 18349 poll_s 07:55 ?        00:00:00 sendmail: accepting connections
1 S smmsp     2028     1  0  80   0 - 14995 pause  07:55 ?        00:00:00 sendmail: Queue runner@01:00:00 for /var/spool/clientmqueue
5 S root      2036     1  0  80   0 - 19760 hrtime 07:55 ?        00:00:00 crond
5 S xfs       2058     1  0  80   0 -  6678 poll_s 07:55 ?        00:00:00 xfs -droppriv -daemon
1 S root      2083     1  0  80   0 - 23424 poll_s 07:56 ?        00:00:00 /etc/observiced -b
0 S root      2109     1  0  80   0 - 16235 pause  07:56 ?        00:00:00 /usr/bin/ksh ./OSWatcher.sh 60 168 gzip
4 S root      2310  1742  0  80   0 - 24638 unix_s 07:56 ?        00:00:00 sshd: ramanrav [priv]
0 S root      2315  2109  0  80   0 - 16227 pause  07:56 ?        00:00:00 /usr/bin/ksh ./OSWatcherFM.sh 168
5 S ramanrav  2434  2310  0  80   0 - 32964 poll_s 07:57 ?        00:00:00 sshd: ramanrav@pts/0
0 S ramanrav  2449  2434  0  80   0 - 18097 wait   07:57 pts/0    00:00:00 -bash
4 S root      2496  1742  0  80   0 - 24638 unix_s 07:57 ?        00:00:00 sshd: subamish [priv]
4 S root      2502  2449  0  80   0 - 27660 poll_s 07:57 pts/0    00:00:00 sudo -u oracle -H sslogger
4 S oracle    2503  2502  0  80   0 - 20270 n_tty_ 07:57 pts/0    00:00:00 sslogger
1 S oracle    2505  2503  0  80   0 - 20270 n_tty_ 07:57 pts/0    00:00:00 sslogger
0 S oracle    2506  2505  0  80   0 - 17575 n_tty_ 07:57 pts/1    00:00:00 -
5 S subamish  2535  2496  0  80   0 - 32964 poll_s 07:57 ?        00:00:00 sshd: subamish@pts/2
0 S subamish  2545  2535  0  80   0 - 18097 wait   07:57 pts/2    00:00:00 -bash
4 S root      2568  2545  0  80   0 - 33348 poll_s 07:57 pts/2    00:00:00 sudo -u root -H sslogger
4 S root      2627  2568  0  80   0 - 20270 n_tty_ 07:57 pts/2    00:00:00 sslogger
1 S root      2628  2627  0  80   0 - 20270 n_tty_ 07:57 pts/2    00:00:00 sslogger
4 S root      2629  2628  0  80   0 - 17575 n_tty_ 07:57 pts/3    00:00:00 -
4 S root      2713  1742  0  80   0 - 24638 unix_s 07:58 ?        00:00:00 sshd: nrajavar [priv]
0 S oracle    2741     1  0  80   0 - 22662 hrtime 07:58 ?        00:00:00 /u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/perl/bin/perl /u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/bin/emwd.pl agent /u01/app/oracle/product/emagent/agent12c/agent_inst/sysman/log/emagent.nohup
0 S oracle    2839  2741  6  80   0 - 151386 futex_ 07:59 ?       00:00:05 /u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/jdk/bin/java -Xmx128m -server -Djava.security.egd=file:///dev/./urandom -Dsun.lang.ClassLoader.allowArraySyntax=true -XX:+UseLinuxPosixThreadCPUClocks -XX:+UseConcMarkSweepGC -XX:+CMSClassUnloadingEnabled -XX:+UseCompressedOops -Dwatchdog.pid=2741 -cp /u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/jdbc/lib/ojdbc5.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/ucp/lib/ucp.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/modules/oracle.http_client_11.1.1.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/lib/xmlparserv2.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/lib/jsch.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/lib/optic.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/modules/oracle.dms_11.1.1/dms.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/modules/oracle.odl_11.1.1/ojdl.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/modules/oracle.odl_11.1.1/ojdl2.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/sysman/jlib/log4j-core.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/jlib/gcagent_core.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/sysman/jlib/emagentSDK-intg.jar:/u01/app/oracle/product/emagent/agent12c/core/12.1.0.4.0/sysman/jlib/emagentSDK.jar oracle.sysman.gcagent.tmmain.TMMain
5 S nrajavar  2935  2713  0  80   0 - 32964 poll_s 07:59 ?        00:00:00 sshd: nrajavar@pts/4
0 S nrajavar  2940  2935  0  80   0 - 18097 n_tty_ 07:59 pts/4    00:00:00 -bash
0 S root      3330  1190  0  80   0 - 17574 wait   08:00 ?        00:00:00 /bin/bash /etc/rc3.d/S98puppet start
0 S root      3335  3330  0  80   0 - 17540 wait   08:00 ?        00:00:00 /bin/bash -c ulimit -S -c 0 >/dev/null 2>&1 ; /usr/bin/puppet agent
0 D root      3336  3335 13  80   0 - 29529 sync_p 08:00 ?        00:00:00 /usr/bin/ruby /usr/bin/puppet agent
0 S root      3343  2109  0  80   0 - 16235 wait   08:00 ?        00:00:00 /usr/bin/ksh ./oswsub.sh /var/log/ops/os-watcher/archive/oswvmstat/acmsdbv2024_vmstat_16.10.19.0800.dat vmstat 1 3
0 S root      3345  2109  0  80   0 - 16235 wait   08:00 ?        00:00:00 /usr/bin/ksh ./oswsub.sh /var/log/ops/os-watcher/archive/oswmpstat/acmsdbv2024_mpstat_16.10.19.0800.dat mpstat 1 3
0 S root      3349  2109  0  80   0 - 16235 wait   08:00 ?        00:00:00 /usr/bin/ksh ./oswlnxio.sh /var/log/ops/os-watcher/archive/oswiostat/acmsdbv2024_iostat_16.10.19.0800.dat
0 S root      3353  2109  0  80   0 - 16235 wait   08:00 ?        00:00:00 /usr/bin/ksh ./oswlnxtop.sh /var/log/ops/os-watcher/archive/oswtop/acmsdbv2024_top_16.10.19.0800.dat
0 S root      3356  2109  0  80   0 - 16235 wait   08:00 ?        00:00:00 /usr/bin/ksh ./oswsub.sh /var/log/ops/os-watcher/archive/oswps/acmsdbv2024_ps_16.10.19.0800.dat ps -elf
0 R root      3362  2109  0  80   0 -  1009 -      08:00 ?        00:00:00 gzip /var/log/ops/os-watcher/archive/oswslabinfo/acmsdbv2024_slabinfo_16.10.19.0700.dat
0 S root      3363  3345  0  80   0 - 14737 pause  08:00 ?        00:00:00 mpstat 1 3
